"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @MAMA2O21: [#MAMA2021]

Worldwide Fans' Choice Top 10 
🗳️ FREE 15 VOTES (will post proofs after!) 

Ends in 72 hours
🔓 +100 follows
🔓 50…",FALSE,0,NA,2021-12-03 12:31:36,FALSE,NA,"1466746940662874113",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","skwuzip",3373,TRUE,FALSE,NA,NA
"RT @K_Sell_: [ IDOLCHAMP ]

🎉 THE 4TH GENERATION K-POP IDOL🎉

🌟FREE VOTES🌟
🎁 350 ❤💙
📌 FOLLOW &amp; RT

#StrayKids @Stray_Kids 
#TXT @TXT_bighit…",FALSE,0,NA,2021-12-03 12:31:35,FALSE,NA,"1466746939379097602",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","snowhyunhwang",1481,TRUE,FALSE,NA,NA
"RT @crazyoverlili7: [MAMA2021]
#MAMAVOTE 

10 Votes🗳‼️

#SEVENTEEN 
#ENHYPEN 
#Twice 
#Rosé 
#lisa 
#NCT127
#TXT 
#TREASURE 

-like, follow…",FALSE,0,NA,2021-12-03 12:31:35,FALSE,NA,"1466746938976579590",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MAblink6",740,TRUE,FALSE,NA,NA
"RT @Yya_beombeom: I vote on #MAMAVOTE  for #txt",FALSE,0,NA,2021-12-03 12:31:35,FALSE,NA,"1466746937244151808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","beomiikey_",6,TRUE,FALSE,NA,NA
"RT @MnetMAMA: [#2021MAMA] Performing Artist Compilation #txt

Here are the #MAMA performances of TOMORROW X TOGETHER.
Pick your favorite pe…",FALSE,0,NA,2021-12-03 12:31:34,FALSE,NA,"1466746934987661317",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_onlytxt",1855,TRUE,FALSE,NA,NA
"RT @K_Sell_: [ IDOLCHAMP ]

🎉 THE 4TH GENERATION K-POP IDOL🎉

🌟FREE VOTES🌟
🎁 350 ❤💙
📌 FOLLOW &amp; RT

#StrayKids @Stray_Kids 
#TXT @TXT_bighit…",FALSE,0,NA,2021-12-03 12:31:32,FALSE,NA,"1466746923411410946",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Aatiny8001",1481,TRUE,FALSE,NA,NA
"RT @Yya_beombeom: I vote on #MAMAVOTE  for #txt",FALSE,0,NA,2021-12-03 12:31:31,FALSE,NA,"1466746923155554306",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jeyijn",6,TRUE,FALSE,NA,NA
"RT @callianahhh1: 🎟️ FREE 5 VOTES 🎟️
rules : rt, like &amp; follow me
I'll posting proof after goodluck 👍

#MAMAVOTE  #TXT #NCT127 #TREASURE #S…",FALSE,0,NA,2021-12-03 12:31:30,FALSE,NA,"1466746916612411397",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Punchyyy69",3113,TRUE,FALSE,NA,NA
"RT @taehyunxy: I vote #MAMAVOTE for #txt",FALSE,0,NA,2021-12-03 12:31:30,FALSE,NA,"1466746916612366339",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jeyijn",12,TRUE,FALSE,NA,NA
"RT @dapaorb: guys guys another rt deal 

50 votes for :: 2k likes, 2k rts and 1k follow proofs! @.kpopvotesforyou

post your follow receipt…",FALSE,0,NA,2021-12-03 12:31:30,FALSE,NA,"1466746916226539521",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","beomberry_land",738,TRUE,FALSE,NA,NA
